language,file,channel,termid,term,ref_bt,ref_et,sys_bt,sys_et,sys_score,sys_decision,alignment
swahili,BABEL_OP2_202_29663_20131208_035816_inLine,1,KW202-00099,anataka kuniona,115.50,116.4900,115.51,116.5,0.000208115593436,YES,CORR
swahili,BABEL_OP2_202_29663_20131208_035816_inLine,1,KW202-00099,anataka kuniona,114.41,115.5000,114.43,115.51,0.000193521733981,YES,CORR
swahili,BABEL_OP2_202_25242_20131203_015232_outLine,1,KW202-00099,anataka kuniona,,,234.72,235.42,0.999598362673,YES,FA
swahili,BABEL_OP2_202_47405_20131215_233528_inLine,1,KW202-00098,i swear,79.42,79.8000,79.39,79.82,9.48268553917e-08,YES,CORR
swahili,BABEL_OP2_202_16249_20131202_232723_outLine,1,KW202-00098,i swear,,,172.48,172.9,6.21803559265e-08,YES,FA
swahili,BABEL_OP2_202_63484_20140128_234153_inLine,1,KW202-00098,i swear,,,142.47,142.98,2.94556121369e-07,YES,FA
swahili,BABEL_OP2_202_55106_20131215_030617_inLine,1,KW202-00098,i swear,,,208.63,209.07,7.96156964019e-08,YES,FA
swahili,BABEL_OP2_202_55042_20131217_033729_inLine,1,KW202-00098,i swear,,,330.67,331.57,2.60882541683e-09,YES,FA
swahili,BABEL_OP2_202_66822_20130219_225918_outLine,1,KW202-00098,i swear,,,136.3,136.67,2.56333630963e-08,YES,FA
swahili,BABEL_OP2_202_66822_20130219_225918_outLine,1,KW202-00098,i swear,,,363.3,363.77,4.68587440944e-10,YES,FA
swahili,BABEL_OP2_202_66822_20130219_225918_outLine,1,KW202-00098,i swear,,,431.41,431.75,3.95222497601e-07,YES,FA
swahili,BABEL_OP2_202_73301_20140226_185528_inLine,1,KW202-00098,i swear,,,27.58,28,1.11559023593e-08,YES,FA
swahili,BABEL_OP2_202_77990_20131007_063102_outLine,1,KW202-00098,i swear,,,184.69,185.05,5.00348937617e-05,YES,FA
swahili,BABEL_OP2_202_98311_20130109_195922_inLine,1,KW202-00098,i swear,,,264.23,264.6,3.00897373994e-05,YES,FA
swahili,BABEL_OP2_202_63084_20130801_014407_inLine,1,KW202-00098,i swear,,,16.5,17.31,2.03867407109e-10,YES,FA
swahili,BABEL_OP2_202_17115_20140218_210921_outLine,1,KW202-00098,i swear,,,267.18,267.48,5.54223715662e-07,YES,FA
swahili,BABEL_OP2_202_29633_20131009_175514_outLine,1,KW202-00098,i swear,,,315.86,316.16,0.00949722114739,YES,FA
swahili,BABEL_OP2_202_84177_20131208_021104_inLine,1,KW202-00098,i swear,,,139.93,140.31,7.67571114503e-08,YES,FA
