language,file,channel,termid,term,ref_bt,ref_et,sys_bt,sys_et,sys_score,sys_decision,alignment
swahili,BABEL_OP2_202_63084_20130801_015957_outLine,1,KW202-00040,eager kukam,236.41,237.0600,,,,,MISS
swahili,BABEL_OP2_202_45459_20131012_022245_inLine,1,KW202-00041,haukula,220.47,220.7900,,,,,MISS
swahili,BABEL_OP2_202_32287_20131207_203757_outLine,1,KW202-00041,haukula,,,127.53,127.95,0.00182662056406,YES,FA
swahili,BABEL_OP2_202_33273_20130219_224915_inLine,1,KW202-00041,haukula,,,91.69,92.04,0.00165830388808,YES,FA
swahili,BABEL_OP2_202_25085_20140219_185114_inLine,1,KW202-00041,haukula,,,310.5,311.1,0.00961662932558,YES,FA
swahili,BABEL_OP2_202_63484_20140128_234153_outLine,1,KW202-00041,haukula,,,544.92,545.41,0.00182011014118,YES,FA
swahili,BABEL_OP2_202_55902_20140121_230205_outLine,1,KW202-00041,haukula,,,527.4,527.76,0.00134679275252,YES,FA
swahili,BABEL_OP2_202_75993_20140115_210258_inLine,1,KW202-00041,haukula,,,18.52,18.99,0.0206517608634,YES,FA
swahili,BABEL_OP2_202_55106_20131215_030617_outLine,1,KW202-00041,haukula,,,378.82,379.39,0.00250793585392,YES,FA
swahili,BABEL_OP2_202_54046_20140121_184347_outLine,1,KW202-00041,haukula,,,456.39,456.85,0.00190564816467,YES,FA
swahili,BABEL_OP2_202_25242_20131203_015232_outLine,1,KW202-00041,haukula,,,430.19,430.81,0.0101759450457,YES,FA
swahili,BABEL_OP2_202_77990_20131007_063102_outLine,1,KW202-00041,haukula,,,341.93,342.32,0.00125802708427,YES,FA
swahili,BABEL_OP2_202_17115_20140218_210921_outLine,1,KW202-00041,haukula,,,170.15,170.68,0.0110609669109,YES,FA
swahili,BABEL_OP2_202_34197_20121228_201800_inLine,1,KW202-00041,haukula,,,128.34,128.63,0.0667983679657,YES,FA
swahili,BABEL_OP2_202_59549_20131003_204655_inLine,1,KW202-00041,haukula,,,160.31,160.69,0.00378268425583,YES,FA
swahili,BABEL_OP2_202_59549_20131003_204655_inLine,1,KW202-00041,haukula,,,197.76,198.51,0.00185870417857,YES,FA
swahili,BABEL_OP2_202_59549_20131003_204655_inLine,1,KW202-00041,haukula,,,240.99,241.39,0.00112881690631,YES,FA
swahili,BABEL_OP2_202_84177_20131208_021104_inLine,1,KW202-00041,haukula,,,228.83,229.25,0.0153781399999,YES,FA
swahili,BABEL_OP2_202_59549_20131003_203701_inLine,1,KW202-00041,haukula,,,230.35,230.88,0.479273318411,YES,FA
swahili,BABEL_OP2_202_12635_20131101_212012_outLine,1,KW202-00041,haukula,,,191.0,191.3,0.00956190373507,YES,FA
swahili,BABEL_OP2_202_63336_20140129_004138_outLine,1,KW202-00041,haukula,,,386.53,387.05,0.0443455455149,YES,FA
swahili,BABEL_OP2_202_53957_20131031_012125_inLine,1,KW202-00041,haukula,,,577.63,578.1,0.00134192890929,YES,FA
swahili,BABEL_OP2_202_76756_20130417_210400_outLine,1,KW202-00041,haukula,,,276.82,277.66,0.312701849529,YES,FA
swahili,BABEL_OP2_202_29663_20131208_035816_inLine,1,KW202-00099,anataka kuniona,115.50,116.4900,115.515,116.495,0.449300089085,YES,CORR
swahili,BABEL_OP2_202_29663_20131208_035816_inLine,1,KW202-00099,anataka kuniona,114.41,115.5000,114.43,115.515,0.546950747421,YES,CORR
swahili,BABEL_OP2_202_25242_20131203_015232_outLine,1,KW202-00099,anataka kuniona,,,234.72,235.42,0.00176061882489,YES,FA
swahili,BABEL_OP2_202_44309_20140220_184116_outLine,1,KW202-00099,anataka kuniona,,,424.42,425.29,0.00198854466947,YES,FA
swahili,BABEL_OP2_202_47405_20131215_233528_inLine,1,KW202-00098,i swear,79.42,79.8000,79.395,79.82,0.104663088735,YES,CORR
swahili,BABEL_OP2_202_18766_20140218_222017_outLine,1,KW202-00098,i swear,,,344.89,345.68,0.010779753495,YES,FA
swahili,BABEL_OP2_202_27478_20140209_224101_outLine,1,KW202-00098,i swear,,,181.6,182.33,0.0015919771837,YES,FA
swahili,BABEL_OP2_202_55042_20131217_033729_inLine,1,KW202-00098,i swear,,,130.64,131.06,0.00176203604359,YES,FA
swahili,BABEL_OP2_202_55042_20131217_033729_inLine,1,KW202-00098,i swear,,,330.67,331.57,0.000580145260155,YES,FA
swahili,BABEL_OP2_202_66822_20130219_225918_outLine,1,KW202-00098,i swear,,,123.79,124.6,0.00120740311949,YES,FA
swahili,BABEL_OP2_202_66822_20130219_225918_outLine,1,KW202-00098,i swear,,,136.3,136.67,0.0143753201601,YES,FA
swahili,BABEL_OP2_202_66822_20130219_225918_outLine,1,KW202-00098,i swear,,,363.295,363.7625,0.0241220880982,YES,FA
swahili,BABEL_OP2_202_66822_20130219_225918_outLine,1,KW202-00098,i swear,,,429.93,430.27,0.00531444552328,YES,FA
swahili,BABEL_OP2_202_66822_20130219_225918_outLine,1,KW202-00098,i swear,,,431.4,431.755,0.00707223128931,YES,FA
swahili,BABEL_OP2_202_92740_20130923_235638_outLine,1,KW202-00098,i swear,,,492.58,492.83,0.00110059969621,YES,FA
swahili,BABEL_OP2_202_24290_20140219_000423_inLine,1,KW202-00098,i swear,,,361.46,363.15,0.00515526939571,YES,FA
swahili,BABEL_OP2_202_54046_20140121_184347_inLine,1,KW202-00098,i swear,,,220.305,220.695,0.00374676002971,YES,FA
swahili,BABEL_OP2_202_54046_20140121_184347_inLine,1,KW202-00098,i swear,,,504.07,505.86,0.0207195538021,YES,FA
swahili,BABEL_OP2_202_73258_20130215_190454_inLine,1,KW202-00098,i swear,,,18.08,18.48,0.000589884780516,YES,FA
swahili,BABEL_OP2_202_73258_20130215_190454_inLine,1,KW202-00098,i swear,,,83.43,83.85,0.00165453882735,YES,FA
swahili,BABEL_OP2_202_77990_20131007_063102_outLine,1,KW202-00098,i swear,,,0.22,2.33,0.00100291061721,YES,FA
swahili,BABEL_OP2_202_77990_20131007_063102_outLine,1,KW202-00098,i swear,,,188.36,188.95,0.000907214788062,YES,FA
swahili,BABEL_OP2_202_77990_20131007_063102_outLine,1,KW202-00098,i swear,,,184.69,185.05,0.00103801608022,YES,FA
swahili,BABEL_OP2_202_98311_20130109_195922_inLine,1,KW202-00098,i swear,,,264.195,264.605,0.00208093849833,YES,FA
swahili,BABEL_OP2_202_73819_20130911_163458_inLine,1,KW202-00098,i swear,,,235.5,235.87,0.0092175392309,YES,FA
swahili,BABEL_OP2_202_63084_20130801_014407_inLine,1,KW202-00098,i swear,,,16.5,17.31,0.00910681249397,YES,FA
swahili,BABEL_OP2_202_29633_20131009_175514_outLine,1,KW202-00098,i swear,,,315.86,316.16,0.000615267471871,YES,FA
swahili,BABEL_OP2_202_12635_20131101_213218_outLine,1,KW202-00098,i swear,,,132.32,132.94,0.000888915462526,YES,FA
swahili,BABEL_OP2_202_84177_20131208_021104_inLine,1,KW202-00098,i swear,,,139.915,140.315,0.00948745922322,YES,FA
swahili,BABEL_OP2_202_63336_20140129_004138_inLine,1,KW202-00098,i swear,,,65.87,66.32,0.0205281466055,YES,FA
swahili,BABEL_OP2_202_63336_20140129_004138_inLine,1,KW202-00098,i swear,,,65.88,66.62,0.0104085102208,YES,FA
swahili,BABEL_OP2_202_63336_20140129_004138_inLine,1,KW202-00098,i swear,,,390.9175,391.26,0.0853281225735,YES,FA
swahili,BABEL_OP2_202_55902_20140121_230205_inLine,1,KW202-00098,i swear,,,299.3,299.7,0.00127266155731,YES,FA
swahili,BABEL_OP2_202_52265_20140123_235252_outLine,1,KW202-00098,i swear,,,546.68,547.08,0.0115664645504,YES,FA
